"Carimbo de data/hora","Nível de esforço dos alunos","Nível de aprendizado [Nível de habilidade/conhecimento no início da disciplina]","Nível de aprendizado [Nível de habilidade/conhecimento no fim da disciplina]","Nível de aprendizado [Nível de habilidade/conhecimento exigido para concluir a disciplina]","Nível de aprendizado [Contribuição da disciplina para habilidade/conhecimento]","[O professor foi um palestrante eficiente]","[As apresentações foram claras e organizadas]","[O professor estimulou o interesse dos alunos]","[O professor usou bem os recursos e as ferramentas computacionais]","[O professor foi acessível e prestativo]","[A avaliação (Trabalhos) foi rápida e ofereceu comentários ou feedback úteis]","[Os objetivos foram claros]","[O conteúdo da disciplina foi organizada e bem planejada]","[A carga da disciplina foi apropriada]","[A disciplina foi organizada para permitir a participação de todos os alunos]","Quais aspectos desta disciplina foram mais úteis ou valiosas?","Como você melhoraria esta disciplina? Alguma sugestão para Docente ?"
"2022/05/09 11:49:14 AM GMT-3","Excelente","Muito bom","Muito bom","Excelente","Excelente","Concordo plenamente","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Discordo totalmente","Saber analisar um algoritmo, qual sua eficiência em um programa. ","Nenhuma sugestão "
"2022/05/09 11:53:29 AM GMT-3","Muito bom","Fraco","Moderado","Moderado","Moderado","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Discordo","Concordo","","aumentaria o tempo da disciplina "
"2022/05/09 11:57:18 AM GMT-3","Fraco","Moderado","Fraco","Fraco","Moderado","","Discordo","Concordo","Concordo","Concordo","Concordo","Não sei","Concordo","Discordo","Concordo","Só a organização","Deixando claro na mente o passo a passo, juntamente com a lógica"
"2022/05/09 11:57:33 AM GMT-3","Excelente","Satisfatório","Excelente","Muito bom","Excelente","Concordo plenamente","Concordo plenamente","Concordo","Concordo","Concordo plenamente","Não sei","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Análise assintotica do algoritmo, entender o impacto negativo de um algoritmo mal feito, conseguir enxergar de que forma as diferentes possíveis soluções de um mesmo problema geram diferentes impactos na execução do algoritmo e consequentemente no tempo de execução.",""
"2022/05/09 11:58:08 AM GMT-3","Moderado","Fraco","Satisfatório","Fraco","Moderado","Concordo","Concordo plenamente","Concordo","Concordo","Concordo","Não sei","Não sei","Concordo","Concordo","Concordo","","Apresentar um pouco mais de exercícios para ajudar o aluno a fixar melhor o conteúdo"
"2022/05/09 12:05:31 PM GMT-3","Muito bom","Moderado","Satisfatório","Moderado","Moderado","Não sei","Discordo","Concordo","Discordo totalmente","Não sei","Discordo","Não sei","Discordo","Discordo","Concordo","",""
"2022/05/09 12:14:36 PM GMT-3","Excelente","Moderado","Muito bom","Muito bom","Excelente","Concordo plenamente","Concordo plenamente","Discordo","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Não sei","Discordo","Entender o funcionamento lógico de alguns algoritmos.","Uma breve recapitulada em alguns assuntos matemáticos nescessário para o melhor entendimento durante as aulas."
"2022/05/09 1:01:46 PM GMT-3","Excelente","Moderado","Muito bom","Muito bom","Muito bom","Discordo","Concordo","Concordo","Discordo","Concordo","Concordo","Discordo","Discordo","Concordo","Concordo plenamente","","Para melhorar a disciplina seria necessário um planejamento de aula um pouco mais didático, para isso seria necessário que professor resolvesse exercícios (programando) durante a aula, guiando o aluno em como resolver tal problema, mostrando na pratica como utilizar as ferramentas disponibilizadas em seus slides. Dessa forma, o aluno não dependeria totalmente da internet na resolução dos trabalhos avaliativos."
"2022/05/09 1:42:34 PM GMT-3","Satisfatório","Excelente","Satisfatório","Moderado","Muito bom","Concordo","Concordo","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo","Concordo","Concordo plenamente","Concordo","Concordo plenamente","Sempre buscar mais conhecimentos, pois alguns trabalhos tinham assuntos além dos mostrados em sala. Insentivando-nos a sempre estudar e se dedicar ainda mais. ","Que os trabalhos possam ser mas bem explicados e esclarecidos e também antes de fazermos os códigos exigidos nos trabalhos possamos fazê-lo alguns explos juntamente com o professor. 
Ademais que seja feita a correção e a explicação dos trabalhos realizados. "
"2022/05/09 1:45:30 PM GMT-3","Satisfatório","Muito bom","Moderado","Muito bom","Excelente","Concordo","Não sei","Concordo","Discordo","Não sei","Concordo","Concordo","Concordo","Concordo","Concordo","A utilização de algoritmos para realizar tarefas recorrentes na vida de programador","Mostrando nos slides a implementação desses algoritmos não só em pseudocódigo mas também nas principais linguagens de programação "
"2022/05/09 6:39:29 PM GMT-3","Muito bom","Satisfatório","Muito bom","Excelente","Muito bom","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","",""
"2022/05/10 8:03:41 PM GMT-3","Moderado","Fraco","Satisfatório","Moderado","Muito bom","Concordo","Concordo plenamente","Concordo","Concordo","Concordo","Discordo","Concordo","Concordo","Discordo","Discordo","Foram mais úteis os aspectos do uso dos conteúdos nos slides e a explicações aulas, a indicação de livros e outras vídeos aulas para ajudar no aprendizado.","Apesar das explicações serem bem claras nas aulas, deixou a desejar as práticas de mais exercícios sobre os assuntos dados, ademais os trabalhos por mais que tivessem a ver com o assunto, tínhamos muita dificuldade de entender e fazer com facilidade, visto que não tinham práticas parecidas no trabalho com os exemplos dados em sala de aula."
"2022/05/10 8:08:48 PM GMT-3","Satisfatório","Moderado","Satisfatório","Satisfatório","Muito bom","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Concordo","Os conhecimentos adquiridos através dos conteúdos dados em sala de aula.","Para a melhoria dessa disciplina, minha sugestão seria que o docente realizasse mais atividades práticas em sala de aula, dessa forma, as dúvidas surgiriam em sala, com isso o professor tiraria suas dúvidas em sala mesmo. Isso contribiu para a melhora de seus conhecimentos."
"2022/05/11 3:47:41 PM GMT-3","Moderado","Moderado","Moderado","Moderado","Muito bom","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","Concordo plenamente","",""
